source_id,status,reason,references,path
SRC-APQC-BENCHMARK-001,published,已净化并公开,6,sources/SRC-APQC-BENCHMARK-001.md
SRC-BANDURA-SELF-EFFICACY-1977,published,已净化并公开,3,sources/SRC-BANDURA-SELF-EFFICACY-1977.md
SRC-BECKER-HUMAN-CAPITAL-1994,published,已净化并公开,3,sources/SRC-BECKER-HUMAN-CAPITAL-1994.md
SRC-BENKLER-NETWORKS-2006,published,已净化并公开,4,sources/SRC-BENKLER-NETWORKS-2006.md
SRC-BLACKBOX-001,published,已净化并公开,2,sources/SRC-BLACKBOX-001.md
SRC-BMYOU-LIFELINE-001,published,已净化并公开,4,sources/SRC-BMYOU-LIFELINE-001.md
SRC-BOURDIEU-CAPITAL-1986,published,已净化并公开,5,sources/SRC-BOURDIEU-CAPITAL-1986.md
SRC-CHRISTENSEN-JTBD-2016,published,已净化并公开,24,sources/SRC-CHRISTENSEN-JTBD-2016.md
SRC-CIALDINI-INFLUENCE-2021,published,已净化并公开,3,sources/SRC-CIALDINI-INFLUENCE-2021.md
SRC-COASE-FIRM-1937,published,已净化并公开,9,sources/SRC-COASE-FIRM-1937.md
SRC-DAN-KOE-ONEPERSON-001,published,已净化并公开,5,sources/SRC-DAN-KOE-ONEPERSON-001.md
SRC-DOUYIN-ANALYTICS-OFFICIAL-202608,published,已净化并公开,4,sources/SRC-DOUYIN-ANALYTICS-OFFICIAL-202608.md
SRC-EFFECTUATION-2001,published,已净化并公开,11,sources/SRC-EFFECTUATION-2001.md
SRC-ENTMAN-FRAMING-1993,published,已净化并公开,3,sources/SRC-ENTMAN-FRAMING-1993.md
SRC-EXTERNAL-BENCHMARK-001,withheld,第三方 Skill 正文未确认公开再分发权限，仅保留引用缺口,4,
SRC-FESTINGER-DISSONANCE-1957,published,已净化并公开,6,sources/SRC-FESTINGER-DISSONANCE-1957.md
SRC-GENTNER-1983,published,已净化并公开,4,sources/SRC-GENTNER-1983.md
SRC-GICK-HOLYOAK-1983,published,已净化并公开,4,sources/SRC-GICK-HOLYOAK-1983.md
SRC-GOFFMAN-SELF-PRESENTATION-1959,published,已净化并公开,2,sources/SRC-GOFFMAN-SELF-PRESENTATION-1959.md
SRC-GOLLWITZER-IMPLEMENTATION-1999,published,已净化并公开,3,sources/SRC-GOLLWITZER-IMPLEMENTATION-1999.md
SRC-GRANOVETTER-WEAK-TIES-1973,published,已净化并公开,4,sources/SRC-GRANOVETTER-WEAK-TIES-1973.md
SRC-HACKING-GROWTH-001,published,已净化并公开,9,sources/SRC-HACKING-GROWTH-001.md
SRC-HESKETT-SERVICE-PROFIT-1994,published,已净化并公开,5,sources/SRC-HESKETT-SERVICE-PROFIT-1994.md
SRC-HONNETH-RECOGNITION-1992,published,已净化并公开,5,sources/SRC-HONNETH-RECOGNITION-1992.md
SRC-HOPKINS-DEMAND-1923,published,已净化并公开,9,sources/SRC-HOPKINS-DEMAND-1923.md
SRC-HOPKINS-OFFER-TEST-1923,published,已净化并公开,7,sources/SRC-HOPKINS-OFFER-TEST-1923.md
SRC-KAHNEMAN-TVERSKY-PROSPECT-1979,published,已净化并公开,5,sources/SRC-KAHNEMAN-TVERSKY-PROSPECT-1979.md
SRC-KATZ-USES-1973,published,已净化并公开,4,sources/SRC-KATZ-USES-1973.md
SRC-KELLER-BRAND-EQUITY-1993,published,已净化并公开,15,sources/SRC-KELLER-BRAND-EQUITY-1993.md
SRC-KOLB-EXPERIENTIAL-2015,published,已净化并公开,7,sources/SRC-KOLB-EXPERIENTIAL-2015.md
SRC-KOTLER-CUSTOMER-VALUE-2024,published,已净化并公开,13,sources/SRC-KOTLER-CUSTOMER-VALUE-2024.md
SRC-KOTLER-MARKET-2024,published,已净化并公开,7,sources/SRC-KOTLER-MARKET-2024.md
SRC-LIPPMANN-PUBLIC-OPINION-1922,published,已净化并公开,10,sources/SRC-LIPPMANN-PUBLIC-OPINION-1922.md
SRC-LOEWENSTEIN-CURIOSITY-1994,published,已净化并公开,2,sources/SRC-LOEWENSTEIN-CURIOSITY-1994.md
SRC-MARKUS-POSSIBLE-SELVES-1986,published,已净化并公开,4,sources/SRC-MARKUS-POSSIBLE-SELVES-1986.md
SRC-MCLUHAN-MEDIUM-1964,published,已净化并公开,5,sources/SRC-MCLUHAN-MEDIUM-1964.md
SRC-MINTO-PYRAMID-2002,published,已净化并公开,3,sources/SRC-MINTO-PYRAMID-2002.md
SRC-NAVAL-SPECIFIC-KNOWLEDGE-001,published,已净化并公开,4,sources/SRC-NAVAL-SPECIFIC-KNOWLEDGE-001.md
SRC-NIST-DOE-2026,published,已净化并公开,3,sources/SRC-NIST-DOE-2026.md
SRC-NOELLE-SPIRAL-1974,published,已净化并公开,1,sources/SRC-NOELLE-SPIRAL-1974.md
SRC-OECD-PLATFORM-ECONOMY-2021,published,已净化并公开,9,sources/SRC-OECD-PLATFORM-ECONOMY-2021.md
SRC-OPENAI-EVALS-OFFICIAL-202608,published,已净化并公开,2,sources/SRC-OPENAI-EVALS-OFFICIAL-202608.md
SRC-OPENAI-GUARDRAILS-OFFICIAL-202608,published,已净化并公开,2,sources/SRC-OPENAI-GUARDRAILS-OFFICIAL-202608.md
SRC-OPENAI-SKILLS-OFFICIAL-202608,published,已净化并公开,1,sources/SRC-OPENAI-SKILLS-OFFICIAL-202608.md
SRC-OSTERWALDER-ENVIRONMENT-2014,published,已净化并公开,5,sources/SRC-OSTERWALDER-ENVIRONMENT-2014.md
SRC-PAWSON-TILLEY-1997,published,已净化并公开,7,sources/SRC-PAWSON-TILLEY-1997.md
SRC-PETERS-BRAND-YOU-1997,published,已净化并公开,3,sources/SRC-PETERS-BRAND-YOU-1997.md
SRC-PLATFORM-RECOMMENDATION-OFFICIAL-202608,published,已净化并公开,11,sources/SRC-PLATFORM-RECOMMENDATION-OFFICIAL-202608.md
SRC-PLATFORM-RULES-OFFICIAL-202608,published,已净化并公开,10,sources/SRC-PLATFORM-RULES-OFFICIAL-202608.md
SRC-PORTER-FIVE-FORCES-1979,published,已净化并公开,10,sources/SRC-PORTER-FIVE-FORCES-1979.md
SRC-RACKHAM-SPIN-1988,published,已净化并公开,2,sources/SRC-RACKHAM-SPIN-1988.md
SRC-RIES-TROUT-POSITIONING-1981,published,已净化并公开,3,sources/SRC-RIES-TROUT-POSITIONING-1981.md
SRC-ROGERS-DIFFUSION-2003,published,已净化并公开,9,sources/SRC-ROGERS-DIFFUSION-2003.md
SRC-SAM-ACTION-001,published,已净化并公开,11,sources/SRC-SAM-ACTION-001.md
SRC-SAM-AI-001,published,已净化并公开,13,sources/SRC-SAM-AI-001.md
SRC-SAM-ASSET-001,published,已净化并公开,17,sources/SRC-SAM-ASSET-001.md
SRC-SAM-BENCHMARK-001,published,已净化并公开,4,sources/SRC-SAM-BENCHMARK-001.md
SRC-SAM-BUSINESS-RESEARCH-001,published,已净化并公开,3,sources/SRC-SAM-BUSINESS-RESEARCH-001.md
SRC-SAM-CASE-RULE-001,published,已净化并公开,13,sources/SRC-SAM-CASE-RULE-001.md
SRC-SAM-CONV-001,published,已净化并公开,9,sources/SRC-SAM-CONV-001.md
SRC-SAM-DATA-001,published,已净化并公开,15,sources/SRC-SAM-DATA-001.md
SRC-SAM-HOOK-001,published,已净化并公开,13,sources/SRC-SAM-HOOK-001.md
SRC-SAM-MARKET-001,published,已净化并公开,11,sources/SRC-SAM-MARKET-001.md
SRC-SAM-OFFER-001,published,已净化并公开,18,sources/SRC-SAM-OFFER-001.md
SRC-SAM-ONE-MEDIA-001,published,已净化并公开,8,sources/SRC-SAM-ONE-MEDIA-001.md
SRC-SAM-OPS-001,published,已净化并公开,12,sources/SRC-SAM-OPS-001.md
SRC-SAM-PLATFORM-001,published,已净化并公开,11,sources/SRC-SAM-PLATFORM-001.md
SRC-SAM-POS-001,published,已净化并公开,13,sources/SRC-SAM-POS-001.md
SRC-SAM-PROJECTS-001,published,已净化并公开,29,sources/SRC-SAM-PROJECTS-001.md
SRC-SAM-SCRIPT-001,published,已净化并公开,14,sources/SRC-SAM-SCRIPT-001.md
SRC-SAM-SPREAD-001,published,已净化并公开,7,sources/SRC-SAM-SPREAD-001.md
SRC-SAM-TOPIC-001,published,已净化并公开,15,sources/SRC-SAM-TOPIC-001.md
SRC-SAM-USER-001,published,已净化并公开,16,sources/SRC-SAM-USER-001.md
SRC-SAM-WORKFLOW-001,published,已净化并公开,24,sources/SRC-SAM-WORKFLOW-001.md
SRC-SIMON-ATTENTION-1971,published,已净化并公开,10,sources/SRC-SIMON-ATTENTION-1971.md
SRC-SPENCE-SIGNALING-1973,published,已净化并公开,15,sources/SRC-SPENCE-SIGNALING-1973.md
SRC-STRATEGYZER-VPC-2026,published,已净化并公开,14,sources/SRC-STRATEGYZER-VPC-2026.md
SRC-TAJFEL-SOCIAL-IDENTITY-1979,published,已净化并公开,8,sources/SRC-TAJFEL-SOCIAL-IDENTITY-1979.md
SRC-TOULMIN-ARGUMENT-1958,published,已净化并公开,6,sources/SRC-TOULMIN-ARGUMENT-1958.md
