atom_id,title,module,skill,mapping_basis,runtime_mentions,knowledge_maturity,evidence_maturity,validation_maturity,path
SAM-MEDIA-001,自媒体不是一个账号,01,samskill,module_scope_candidate,0,K5,E3,V2,modules/01_内容时代与一人媒体/SAM-MEDIA-001_自媒体不是一个账号.md
SAM-MEDIA-001,自媒体不是一个账号,01,sam-project-diagnosis,module_scope_candidate,0,K5,E3,V2,modules/01_内容时代与一人媒体/SAM-MEDIA-001_自媒体不是一个账号.md
SAM-MEDIA-002,“自”意味着谁拥有选择权,01,samskill,module_scope_candidate,0,K5,E3,V2,modules/01_内容时代与一人媒体/SAM-MEDIA-002_自意味着谁拥有选择权.md
SAM-MEDIA-002,“自”意味着谁拥有选择权,01,sam-project-diagnosis,module_scope_candidate,0,K5,E3,V2,modules/01_内容时代与一人媒体/SAM-MEDIA-002_自意味着谁拥有选择权.md
SAM-MEDIA-003,“媒体”意味着稳定编辑与分发,01,samskill,module_scope_candidate,0,K5,E3,V2,modules/01_内容时代与一人媒体/SAM-MEDIA-003_媒体意味着稳定编辑与分发.md
SAM-MEDIA-003,“媒体”意味着稳定编辑与分发,01,sam-project-diagnosis,module_scope_candidate,0,K5,E3,V2,modules/01_内容时代与一人媒体/SAM-MEDIA-003_媒体意味着稳定编辑与分发.md
SAM-MEDIA-004,发布权开放不等于注意力平等,01,samskill,module_scope_candidate,0,K5,E4,V2,modules/01_内容时代与一人媒体/SAM-MEDIA-004_发布权开放不等于注意力平等.md
SAM-MEDIA-004,发布权开放不等于注意力平等,01,sam-project-diagnosis,module_scope_candidate,0,K5,E4,V2,modules/01_内容时代与一人媒体/SAM-MEDIA-004_发布权开放不等于注意力平等.md
SAM-MEDIA-005,私人积累怎样变成公共证明,01,samskill,module_scope_candidate,0,K5,E4,V2,modules/01_内容时代与一人媒体/SAM-MEDIA-005_私人积累怎样变成公共证明.md
SAM-MEDIA-005,私人积累怎样变成公共证明,01,sam-project-diagnosis,module_scope_candidate,0,K5,E4,V2,modules/01_内容时代与一人媒体/SAM-MEDIA-005_私人积累怎样变成公共证明.md
SAM-MEDIA-006,本事、项目结果与市场认知的区别,01,samskill,module_scope_candidate,0,K5,E4,V2,modules/01_内容时代与一人媒体/SAM-MEDIA-006_本事项目结果与市场认知的区别.md
SAM-MEDIA-006,本事、项目结果与市场认知的区别,01,sam-project-diagnosis,module_scope_candidate,0,K5,E4,V2,modules/01_内容时代与一人媒体/SAM-MEDIA-006_本事项目结果与市场认知的区别.md
SAM-MEDIA-007,个人 IP 不是人设标签,01,samskill,module_scope_candidate,0,K5,E3,V2,modules/01_内容时代与一人媒体/SAM-MEDIA-007_个人IP不是人设标签.md
SAM-MEDIA-007,个人 IP 不是人设标签,01,sam-project-diagnosis,module_scope_candidate,0,K5,E3,V2,modules/01_内容时代与一人媒体/SAM-MEDIA-007_个人IP不是人设标签.md
SAM-MEDIA-008,品牌是别人对你的稳定预期,01,samskill,module_scope_candidate,0,K5,E4,V2,modules/01_内容时代与一人媒体/SAM-MEDIA-008_品牌是别人对你的稳定预期.md
SAM-MEDIA-008,品牌是别人对你的稳定预期,01,sam-project-diagnosis,module_scope_candidate,0,K5,E4,V2,modules/01_内容时代与一人媒体/SAM-MEDIA-008_品牌是别人对你的稳定预期.md
SAM-MEDIA-009,一人公司、超级个体与一人媒体的区别,01,samskill,module_scope_candidate,0,K5,E3,V1,modules/01_内容时代与一人媒体/SAM-MEDIA-009_一人公司超级个体与一人媒体的区别.md
SAM-MEDIA-009,一人公司、超级个体与一人媒体的区别,01,sam-project-diagnosis,module_scope_candidate,0,K5,E3,V1,modules/01_内容时代与一人媒体/SAM-MEDIA-009_一人公司超级个体与一人媒体的区别.md
SAM-MEDIA-010,哪些人不需要经营完整 IP,01,samskill,module_scope_candidate,0,K5,E3,V2,modules/01_内容时代与一人媒体/SAM-MEDIA-010_哪些人不需要经营完整IP.md
